Date,EGIE3,ITSA4,BBDC4,BBSE3
7/14/2016,32.591999,7.42361,19.4904,29.040001
7/15/2016,32.240002,7.38748,19.4904,29.219999
7/18/2016,32.360001,7.55004,19.8967,29.85
7/19/2016,32.911999,7.5952,19.8209,29.690001
7/20/2016,33.112,7.5681,19.993099,30.07
7/21/2016,33.32,7.49585,19.8416,29.67
7/22/2016,33.52,7.51392,19.9725,29.700001
7/25/2016,33.68,7.47779,19.9105,29.35
7/26/2016,33.352001,7.40554,19.7521,29.42
7/27/2016,33.487999,7.52295,19.8209,29.049999
7/28/2016,33.040001,7.43264,18.9394,29.360001
7/29/2016,33.768002,7.55004,19.5317,30.139999
8/1/2016,33.639999,7.45973,19.5592,30.139999
8/2/2016,33.599998,7.50489,19.304399,29.799999
8/3/2016,34.200001,7.80291,19.7521,29.9
8/4/2016,34.616001,7.82098,19.965599,30.34
8/5/2016,34.408001,7.79388,20.0895,30.280001
8/8/2016,34.240002,7.7397,19.889799,29.969999
8/9/2016,33.279999,7.73066,19.786501,29.790001
8/10/2016,32.807999,7.63132,19.504101,29.879999
8/11/2016,33.200001,7.84807,20.0826,30.639999
8/12/2016,33.136002,7.8571,20.110201,29.809999
8/15/2016,33.208,7.92032,20.4063,29.809999
8/16/2016,32.439999,7.83904,20.096399,29.549999
8/17/2016,33.48,7.96547,20.3237,29.450001
8/18/2016,32.16,8.0016,20.378799,29.049999
8/19/2016,32.296001,7.92935,20.2617,28.799999
8/22/2016,31.879999,7.7126,19.7176,28.24
8/23/2016,31.32,7.72163,19.504101,28.23
8/24/2016,31.76,7.69454,19.3664,28.6
8/25/2016,31.6,7.67648,19.4559,29.02
8/26/2016,31.152,7.74873,19.724501,28.709999
8/29/2016,31.864,7.86613,20.0826,29
8/30/2016,31.768,7.88419,20.1446,29.200001
8/31/2016,31.200001,7.76679,20.0138,29.15
9/1/2016,31.832001,7.82098,19.8141,30
9/2/2016,32.439999,7.92935,20.378799,30.74
9/5/2016,32.335999,7.90226,20.447701,30.67
9/6/2016,32.352001,7.96547,20.6612,31.18
9/8/2016,31.903999,7.8571,20.9366,31.110001
9/9/2016,31.112,7.49585,19.7796,30.24
9/12/2016,31.280001,7.55907,19.848499,30.459999
9/13/2016,31,7.52295,19.021999,29.75
9/14/2016,31.128,7.44167,19.180401,29.9
9/15/2016,31.312,7.61326,19.703899,30.59
9/16/2016,31.048,7.52295,19.345699,29.940001
9/19/2016,31.200001,7.54101,19.448999,29.809999
9/20/2016,31.368,7.58617,19.6625,29.629999
9/21/2016,31.639999,7.63132,20.048201,30.17
9/22/2016,31.823999,7.74873,20.433901,31.030001
9/23/2016,31.719999,7.68551,20.475201,31.17
9/26/2016,31.68,7.5952,20.2204,30.540001
9/27/2016,31.559999,7.70357,20.640499,30.91
9/28/2016,31.864,7.78485,20.7645,30.82
9/29/2016,31.424,7.55907,20.420099,30.33
9/30/2016,30.799999,7.53198,20.433901,29.879999
10/3/2016,31.296,7.66745,20.5165,30.450001
10/4/2016,30.896,7.55907,20.798901,30.559999
10/5/2016,31.256001,7.65842,20.964199,30.110001
10/6/2016,31.120001,7.78485,20.964199,30.07
10/7/2016,31.271999,7.87516,21.2603,30.41
10/10/2016,31.24,7.99257,21.253401,30.84
10/11/2016,31.040001,7.91129,21.1777,30.450001
10/13/2016,31.52,7.91129,21.2052,30.9
10/14/2016,31.559999,8.03772,21.377399,31.530001
